,config_id,idx,origin_Li,origin_EC,origin_DMC,origin_VC,origin_PF6,rxn_EC,rxn_DMC,rxn_VC,rxn_PF6,rdc_EC,rdc_DMC,rdc_VC,rdc_PF6,rxn,rdc,rxn_wt_pid,rdc_wt_pid,rxn_changed_bonds
0,0x1403e3f7de97287c,-1,4,10,10,2,1,2,0,0,0,0,0,0,0,"{'EC_9 => C3O3H4', 'EC_5 => C2H4+CO3'}",set(),"{'EC_9 => sg2-C3O3H4', 'EC_5 => sg0-C2H4+sg1-CO3'}",set(),"{((('C54', 'O58'), (1.608, 3.9409), (('C54@EC_5', 'O58@EC_5'), ('C54@frame(-1)-sg0-C2H4', 'O58@frame(-1)-sg1-CO3'))), (('C55', 'O57'), (1.6073, 3.2206), (('C55@EC_5', 'O57@EC_5'), ('C55@frame(-1)-sg0-C2H4', 'O57@frame(-1)-sg1-CO3')))), ((('C94', 'O98'), (1.6039, 2.5793), (('C94@EC_9', 'O98@EC_9'), ('C94@frame(-1)-sg2-C3O3H4', 'O98@frame(-1)-sg2-C3O3H4'))),)}"
1,0x16ee8102927e920e,-1,5,10,10,1,1,2,0,0,0,0,0,0,0,"{'EC_2 => C2H4+CO3', 'EC_7 => C2H4+CO3'}",set(),"{'EC_7 => sg2-C2H4+sg3-CO3', 'EC_2 => sg0-C2H4+sg1-CO3'}",set(),"{((('C25', 'O29'), (1.6076, 3.8026), (('C25@EC_2', 'O29@EC_2'), ('C25@frame(-1)-sg0-C2H4', 'O29@frame(-1)-sg1-CO3'))), (('C26', 'O28'), (1.6077, 3.2084), (('C26@EC_2', 'O28@EC_2'), ('C26@frame(-1)-sg0-C2H4', 'O28@frame(-1)-sg1-CO3')))), ((('C75', 'O79'), (1.6047, 3.9842), (('C75@EC_7', 'O79@EC_7'), ('C75@frame(-1)-sg2-C2H4', 'O79@frame(-1)-sg3-CO3'))), (('C76', 'O78'), (1.6057, 3.5304), (('C76@EC_7', 'O78@EC_7'), ('C76@frame(-1)-sg2-C2H4', 'O78@frame(-1)-sg3-CO3'))))}"
2,0x1a816fc22747853f,-1,5,10,10,2,2,1,0,0,0,0,0,1,0,{'EC_9 => C2H4+CO3'},{'VC_0 => C3O3H2_reduction'},{'EC_9 => sg0-C2H4+sg1-CO3'},{'VC_0 => sg2-C3O3H2_reduction'},"{((('C95', 'O99'), (1.6073, 3.5167), (('C95@EC_9', 'O99@EC_9'), ('C95@frame(-1)-sg0-C2H4', 'O99@frame(-1)-sg1-CO3'))), (('C96', 'O98'), (1.6064, 3.3811), (('C96@EC_9', 'O98@EC_9'), ('C96@frame(-1)-sg0-C2H4', 'O98@frame(-1)-sg1-CO3'))))}"
3,0x1e044f4ac6c75fe9,-1,7,10,10,1,1,2,0,1,0,0,0,0,0,"{'VC_0 => C3O3H2', 'EC_5 => C2O2H4+CO', 'EC_0 => C2H4+CO3'}",set(),"{'EC_0 => sg0-C2H4+sg1-CO3', 'EC_5 => sg2-C2O2H4+sg3-CO', 'VC_0 => sg4-C3O3H2'}",set(),"{((('C59', 'O60'), (1.5192, 2.4837), (('C59@EC_5', 'O60@EC_5'), ('C59@frame(-1)-sg3-CO', 'O60@frame(-1)-sg2-C2O2H4'))), (('C59', 'O61'), (1.5186, 4.1025), (('C59@EC_5', 'O61@EC_5'), ('C59@frame(-1)-sg3-CO', 'O61@frame(-1)-sg2-C2O2H4')))), ((('C229', 'O230'), (1.5451, 3.0415), (('C229@VC_0', 'O230@VC_0'), ('C229@frame(-1)-sg4-C3O3H2', 'O230@frame(-1)-sg4-C3O3H2'))),), ((('C7', 'O11'), (1.6073, 3.9138), (('C7@EC_0', 'O11@EC_0'), ('C7@frame(-1)-sg0-C2H4', 'O11@frame(-1)-sg1-CO3'))), (('C8', 'O10'), (1.6063, 3.7668), (('C8@EC_0', 'O10@EC_0'), ('C8@frame(-1)-sg0-C2H4', 'O10@frame(-1)-sg1-CO3'))))}"
4,0x20c7ae974558a91c,-1,4,10,10,2,2,1,0,0,0,0,0,0,0,{'EC_1 => C3O3H4'},set(),{'EC_1 => sg0-C3O3H4'},set(),"{((('C16', 'O17'), (1.5212, 3.8516), (('C16@EC_1', 'O17@EC_1'), ('C16@frame(-1)-sg0-C3O3H4', 'O17@frame(-1)-sg0-C3O3H4'))),)}"
5,0x20f154f373edf82e,-1,5,10,10,1,2,1,0,0,0,1,0,0,0,{'EC_6 => C2H4+CO3'},{'EC_0 => C3O3H4_reduction'},{'EC_6 => sg1-C2H4+sg2-CO3'},{'EC_0 => sg0-C3O3H4_reduction'},"{((('C65', 'O69'), (1.607, 3.6684), (('C65@EC_6', 'O69@EC_6'), ('C65@frame(-1)-sg1-C2H4', 'O69@frame(-1)-sg2-CO3'))), (('C66', 'O68'), (1.6099, 3.3229), (('C66@EC_6', 'O68@EC_6'), ('C66@frame(-1)-sg1-C2H4', 'O68@frame(-1)-sg2-CO3'))))}"
6,0x2254f7860bf44bd6,-1,2,10,10,2,2,0,0,0,0,0,0,0,0,set(),set(),set(),set(),set()
7,0x248164f8f9b8783c,-1,3,10,10,3,2,0,0,0,0,1,0,0,0,set(),{'EC_0 => C3O3H4_reduction'},set(),{'EC_0 => sg0-C3O3H4_reduction'},set()
8,0x2591defae9dd6f03,-1,4,10,10,1,2,0,1,0,0,0,0,0,0,{'DMC_4 => CO+COH3+COH3'},set(),{'DMC_4 => sg0-CO+sg1-COH3+sg2-COH3'},set(),"{((('C152', 'O156'), (1.3651, 3.9011), (('C152@DMC_4', 'O156@DMC_4'), ('C152@frame(-1)-sg0-CO', 'O156@frame(-1)-sg2-COH3'))), (('C152', 'O157'), (1.3646, 1.9643), (('C152@DMC_4', 'O157@DMC_4'), ('C152@frame(-1)-sg0-CO', 'O157@frame(-1)-sg1-COH3'))))}"
9,0x2f9cc506285d44c5,-1,7,10,10,2,2,2,0,0,0,0,1,0,0,"{'EC_3 => C2H4+CO3', 'EC_4 => C2H4+CO3'}",{'DMC_9 => C3O3H6_reduction'},"{'EC_4 => sg2-C2H4+sg3-CO3', 'EC_3 => sg0-C2H4+sg1-CO3'}",{'DMC_9 => sg4-C3O3H6_reduction'},"{((('C47', 'O51'), (1.6063, 3.2978), (('C47@EC_4', 'O51@EC_4'), ('C47@frame(-1)-sg2-C2H4', 'O51@frame(-1)-sg3-CO3'))), (('C48', 'O50'), (1.6071, 3.5303), (('C48@EC_4', 'O50@EC_4'), ('C48@frame(-1)-sg2-C2H4', 'O50@frame(-1)-sg3-CO3')))), ((('C37', 'O41'), (1.6046, 2.9161), (('C37@EC_3', 'O41@EC_3'), ('C37@frame(-1)-sg0-C2H4', 'O41@frame(-1)-sg1-CO3'))), (('C38', 'O40'), (1.6042, 3.3556), (('C38@EC_3', 'O40@EC_3'), ('C38@frame(-1)-sg0-C2H4', 'O40@frame(-1)-sg1-CO3'))))}"
