,config_id,idx,origin_Li,origin_EC,origin_DMC,origin_VC,origin_PF6,origin_CO3_minus2,origin_Ethylene,origin_oEC_radical_minus1_minus2,rxn_EC,rxn_DMC,rxn_VC,rxn_PF6,rxn_CO3_minus2,rxn_Ethylene,rxn_oEC_radical_minus1_minus2,rdc_EC,rdc_DMC,rdc_VC,rdc_PF6,rdc_CO3_minus2,rdc_Ethylene,rdc_oEC_radical_minus1_minus2,rxn,rdc,rxn_wt_pid,rdc_wt_pid,rxn_changed_bonds
0,0x10cfbbc5c2f637ea,-1,4,10,10,2,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,{'DMC_6+oEC_radical_minus1_minus2_0 => C3O3H6CO2C2H2OH2'},set(),{'DMC_6+oEC_radical_minus1_minus2_0 => sg0-C3O3H6CO2C2H2OH2'},set(),"{((('O179', 'C271'), (3.5581, 1.4727), (('O179@DMC_6', 'C271@oEC_radical_minus1_minus2_0'), ('O179@frame(-1)-sg0-C3O3H6CO2C2H2OH2', 'C271@frame(-1)-sg0-C3O3H6CO2C2H2OH2'))),)}"
1,0x12f7aa3d13a79a6f,-1,4,10,10,1,1,2,2,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,"{'DMC_5+EC_1+oEC_radical_minus1_minus2_0 => C3O3H3C3O3H6+HCO2C2H2OH2', 'DMC_0+oEC_radical_minus1_minus2_1 => C3O3H6CO2C2H2OH2'}",set(),"{'DMC_5+EC_1+oEC_radical_minus1_minus2_0 => sg0-C3O3H3C3O3H6+sg1-HCO2C2H2OH2', 'DMC_0+oEC_radical_minus1_minus2_1 => sg2-C3O3H6CO2C2H2OH2'}",set(),"{((('O107', 'C273'), (3.9251, 1.4787), (('O107@DMC_0', 'C273@oEC_radical_minus1_minus2_1'), ('O107@frame(-1)-sg2-C3O3H6CO2C2H2OH2', 'C273@frame(-1)-sg2-C3O3H6CO2C2H2OH2'))),), ((('C15', 'H22'), (1.0812, 2.665), (('C15@EC_1', 'H22@EC_1'), ('C15@frame(-1)-sg0-C3O3H3C3O3H6', 'H22@frame(-1)-sg1-HCO2C2H2OH2'))), (('C15', 'O167'), (3.9018, 1.5319), (('C15@EC_1', 'O167@DMC_5'), ('C15@frame(-1)-sg0-C3O3H3C3O3H6', 'O167@frame(-1)-sg0-C3O3H3C3O3H6'))), (('H22', 'C263'), (2.6488, 1.1863), (('H22@EC_1', 'C263@oEC_radical_minus1_minus2_0'), ('H22@frame(-1)-sg1-HCO2C2H2OH2', 'C263@frame(-1)-sg1-HCO2C2H2OH2'))))}"
2,0x16d19a92d8634cc6,-1,2,10,10,3,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_0 => CO2+OC2H4', 'CO3_minus2_1+VC_2 => C3O3H2O+CO2'}",set(),"{'oEC_radical_minus1_minus2_0 => sg2-CO2+sg3-OC2H4', 'CO3_minus2_1+VC_2 => sg0-C3O3H2O+sg1-CO2'}",set(),"{((('C273', 'O275'), (1.3375, 2.6764), (('C273@oEC_radical_minus1_minus2_0', 'O275@oEC_radical_minus1_minus2_0'), ('C273@frame(-1)-sg2-CO2', 'O275@frame(-1)-sg3-OC2H4'))), (('O275', 'C277'), (2.4367, 1.4438), (('O275@oEC_radical_minus1_minus2_0', 'C277@oEC_radical_minus1_minus2_0'), ('O275@frame(-1)-sg3-OC2H4', 'C277@frame(-1)-sg3-OC2H4')))), ((('C257', 'O258'), (1.2947, 2.801), (('C257@CO3_minus2_1', 'O258@CO3_minus2_1'), ('C257@frame(-1)-sg1-CO2', 'O258@frame(-1)-sg0-C3O3H2O'))), (('C238', 'O258'), (3.1185, 1.4544), (('C238@VC_2', 'O258@CO3_minus2_1'), ('C238@frame(-1)-sg0-C3O3H2O', 'O258@frame(-1)-sg0-C3O3H2O'))), (('C239', 'O258'), (3.0158, 1.4314), (('C239@VC_2', 'O258@CO3_minus2_1'), ('C239@frame(-1)-sg0-C3O3H2O', 'O258@frame(-1)-sg0-C3O3H2O'))))}"
3,0x1814c76bd2bd27ad,-1,1,10,10,3,1,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_1 => CO2+OC2H4', 'EC_3+oEC_radical_minus1_minus2_0 => C3O3H4CO2C2H2OH2'}",set(),"{'oEC_radical_minus1_minus2_1 => sg1-CO2+sg2-OC2H4', 'EC_3+oEC_radical_minus1_minus2_0 => sg0-C3O3H4CO2C2H2OH2'}",set(),"{((('C272', 'O274'), (1.3228, 2.7546), (('C272@oEC_radical_minus1_minus2_1', 'O274@oEC_radical_minus1_minus2_1'), ('C272@frame(-1)-sg1-CO2', 'O274@frame(-1)-sg2-OC2H4'))), (('C275', 'H281'), (1.0877, 2.1364), (('C275@oEC_radical_minus1_minus2_1', 'H281@oEC_radical_minus1_minus2_1'), ('C275@frame(-1)-sg2-OC2H4', 'H281@frame(-1)-sg2-OC2H4'))), (('C276', 'H281'), (2.1088, 1.1113), (('C276@oEC_radical_minus1_minus2_1', 'H281@oEC_radical_minus1_minus2_1'), ('C276@frame(-1)-sg2-OC2H4', 'H281@frame(-1)-sg2-OC2H4')))), ((('O36', 'C266'), (20.5755, 1.5047), (('O36@EC_3', 'C266@oEC_radical_minus1_minus2_0'), ('O36@frame(-1)-sg0-C3O3H4CO2C2H2OH2', 'C266@frame(-1)-sg0-C3O3H4CO2C2H2OH2'))),)}"
4,0x19c5ea388a27a1eb,-1,3,10,10,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C258', 'O260'), (1.3284, 2.956), (('C258@oEC_radical_minus1_minus2_0', 'O260@oEC_radical_minus1_minus2_0'), ('C258@frame(-1)-sg0-CO2', 'O260@frame(-1)-sg1-OC2H4'))), (('C261', 'H266'), (1.0867, 2.1178), (('C261@oEC_radical_minus1_minus2_0', 'H266@oEC_radical_minus1_minus2_0'), ('C261@frame(-1)-sg1-OC2H4', 'H266@frame(-1)-sg1-OC2H4'))), (('C262', 'H266'), (2.1239, 1.1113), (('C262@oEC_radical_minus1_minus2_0', 'H266@oEC_radical_minus1_minus2_0'), ('C262@frame(-1)-sg1-OC2H4', 'H266@frame(-1)-sg1-OC2H4'))))}"
5,0x1ab64963b67bf3e,-1,1,10,10,2,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_0 => CO2+OC2H4', 'CO3_minus2_0+VC_0 => C3O3H2O+CO2'}",set(),"{'oEC_radical_minus1_minus2_0 => sg2-CO2+sg3-OC2H4', 'CO3_minus2_0+VC_0 => sg0-C3O3H2O+sg1-CO2'}",set(),"{((('C244', 'O247'), (1.2975, 2.8563), (('C244@CO3_minus2_0', 'O247@CO3_minus2_0'), ('C244@frame(-1)-sg1-CO2', 'O247@frame(-1)-sg0-C3O3H2O'))), (('C221', 'O247'), (18.6416, 1.4592), (('C221@VC_0', 'O247@CO3_minus2_0'), ('C221@frame(-1)-sg0-C3O3H2O', 'O247@frame(-1)-sg0-C3O3H2O'))), (('C222', 'O247'), (18.8879, 1.433), (('C222@VC_0', 'O247@CO3_minus2_0'), ('C222@frame(-1)-sg0-C3O3H2O', 'O247@frame(-1)-sg0-C3O3H2O')))), ((('C264', 'O266'), (1.3285, 2.6036), (('C264@oEC_radical_minus1_minus2_0', 'O266@oEC_radical_minus1_minus2_0'), ('C264@frame(-1)-sg2-CO2', 'O266@frame(-1)-sg3-OC2H4'))), (('C267', 'H272'), (1.087, 2.1049), (('C267@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C267@frame(-1)-sg3-OC2H4', 'H272@frame(-1)-sg3-OC2H4'))), (('C268', 'H272'), (2.1348, 1.1065), (('C268@oEC_radical_minus1_minus2_0', 'H272@oEC_radical_minus1_minus2_0'), ('C268@frame(-1)-sg3-OC2H4', 'H272@frame(-1)-sg3-OC2H4'))))}"
6,0x1bf22e04be99cb49,-1,3,10,10,1,1,2,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_1 => CO2+OC2H4', 'CO3_minus2_1+oEC_radical_minus1_minus2_0 => CO3CO2C2H2OH2'}",set(),"{'CO3_minus2_1+oEC_radical_minus1_minus2_0 => sg0-CO3CO2C2H2OH2', 'oEC_radical_minus1_minus2_1 => sg1-CO2+sg2-OC2H4'}",set(),"{((('C268', 'O270'), (1.3291, 2.766), (('C268@oEC_radical_minus1_minus2_1', 'O270@oEC_radical_minus1_minus2_1'), ('C268@frame(-1)-sg1-CO2', 'O270@frame(-1)-sg2-OC2H4'))), (('C271', 'H276'), (1.076, 2.116), (('C271@oEC_radical_minus1_minus2_1', 'H276@oEC_radical_minus1_minus2_1'), ('C271@frame(-1)-sg2-OC2H4', 'H276@frame(-1)-sg2-OC2H4'))), (('C272', 'H276'), (2.0556, 1.0997), (('C272@oEC_radical_minus1_minus2_1', 'H276@oEC_radical_minus1_minus2_1'), ('C272@frame(-1)-sg2-OC2H4', 'H276@frame(-1)-sg2-OC2H4')))), ((('O245', 'C262'), (21.6395, 1.4383), (('O245@CO3_minus2_1', 'C262@oEC_radical_minus1_minus2_0'), ('O245@frame(-1)-sg0-CO3CO2C2H2OH2', 'C262@frame(-1)-sg0-CO3CO2C2H2OH2'))),)}"
7,0x1d8acceca7738833,-1,3,10,10,3,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C274', 'O276'), (1.3375, 2.9933), (('C274@oEC_radical_minus1_minus2_0', 'O276@oEC_radical_minus1_minus2_0'), ('C274@frame(-1)-sg0-CO2', 'O276@frame(-1)-sg1-OC2H4'))), (('C277', 'H282'), (1.0833, 2.1092), (('C277@oEC_radical_minus1_minus2_0', 'H282@oEC_radical_minus1_minus2_0'), ('C277@frame(-1)-sg1-OC2H4', 'H282@frame(-1)-sg1-OC2H4'))), (('C278', 'H282'), (2.0786, 1.095), (('C278@oEC_radical_minus1_minus2_0', 'H282@oEC_radical_minus1_minus2_0'), ('C278@frame(-1)-sg1-OC2H4', 'H282@frame(-1)-sg1-OC2H4'))))}"
8,0x1e77e9e50b4fc357,-1,3,10,10,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,{'oEC_radical_minus1_minus2_0 => CO2+OC2H4'},set(),{'oEC_radical_minus1_minus2_0 => sg0-CO2+sg1-OC2H4'},set(),"{((('C258', 'O260'), (1.3313, 2.8355), (('C258@oEC_radical_minus1_minus2_0', 'O260@oEC_radical_minus1_minus2_0'), ('C258@frame(-1)-sg0-CO2', 'O260@frame(-1)-sg1-OC2H4'))), (('C261', 'H267'), (1.0872, 2.129), (('C261@oEC_radical_minus1_minus2_0', 'H267@oEC_radical_minus1_minus2_0'), ('C261@frame(-1)-sg1-OC2H4', 'H267@frame(-1)-sg1-OC2H4'))), (('C262', 'H267'), (2.13, 1.0996), (('C262@oEC_radical_minus1_minus2_0', 'H267@oEC_radical_minus1_minus2_0'), ('C262@frame(-1)-sg1-OC2H4', 'H267@frame(-1)-sg1-OC2H4'))))}"
9,0x208a9db3b56886bf,-1,2,10,10,2,1,2,2,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,"{'oEC_radical_minus1_minus2_0 => CO2+OC2H4', 'CO3_minus2_0+VC_0 => C3O3H2O+CO2', 'oEC_radical_minus1_minus2_1 => CO2+OC2H4'}",set(),"{'oEC_radical_minus1_minus2_1 => sg4-CO2+sg5-OC2H4', 'oEC_radical_minus1_minus2_0 => sg2-CO2+sg3-OC2H4', 'CO3_minus2_0+VC_0 => sg0-C3O3H2O+sg1-CO2'}",set(),"{((('C265', 'O267'), (1.3192, 2.7047), (('C265@oEC_radical_minus1_minus2_0', 'O267@oEC_radical_minus1_minus2_0'), ('C265@frame(-1)-sg2-CO2', 'O267@frame(-1)-sg3-OC2H4'))), (('C268', 'H274'), (1.0903, 2.0963), (('C268@oEC_radical_minus1_minus2_0', 'H274@oEC_radical_minus1_minus2_0'), ('C268@frame(-1)-sg3-OC2H4', 'H274@frame(-1)-sg3-OC2H4'))), (('C269', 'H274'), (2.1426, 1.092), (('C269@oEC_radical_minus1_minus2_0', 'H274@oEC_radical_minus1_minus2_0'), ('C269@frame(-1)-sg3-OC2H4', 'H274@frame(-1)-sg3-OC2H4')))), ((('C275', 'O277'), (1.322, 2.9561), (('C275@oEC_radical_minus1_minus2_1', 'O277@oEC_radical_minus1_minus2_1'), ('C275@frame(-1)-sg4-CO2', 'O277@frame(-1)-sg5-OC2H4'))), (('C278', 'H284'), (1.0869, 2.1037), (('C278@oEC_radical_minus1_minus2_1', 'H284@oEC_radical_minus1_minus2_1'), ('C278@frame(-1)-sg5-OC2H4', 'H284@frame(-1)-sg5-OC2H4'))), (('C279', 'H284'), (2.1543, 1.0958), (('C279@oEC_radical_minus1_minus2_1', 'H284@oEC_radical_minus1_minus2_1'), ('C279@frame(-1)-sg5-OC2H4', 'H284@frame(-1)-sg5-OC2H4')))), ((('C245', 'O247'), (1.2978, 2.7302), (('C245@CO3_minus2_0', 'O247@CO3_minus2_0'), ('C245@frame(-1)-sg1-CO2', 'O247@frame(-1)-sg0-C3O3H2O'))), (('C222', 'O247'), (3.3352, 1.4375), (('C222@VC_0', 'O247@CO3_minus2_0'), ('C222@frame(-1)-sg0-C3O3H2O', 'O247@frame(-1)-sg0-C3O3H2O'))), (('C223', 'O247'), (3.0967, 1.4262), (('C223@VC_0', 'O247@CO3_minus2_0'), ('C223@frame(-1)-sg0-C3O3H2O', 'O247@frame(-1)-sg0-C3O3H2O'))))}"
