     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:02:30   -18533.572063       1.6027       0.0000       0.1000       1.0000
Sella   1 06:54:11   -18532.279284       5.2072       0.0000       0.0650      -0.0149
Sella   2 06:59:07   -18532.027775       6.2156       0.0000       0.0423      -0.0093
Sella   3 07:04:03   -18532.051089       5.6947       0.0000       0.0275       0.0072
Sella   4 07:08:27   -18532.138734       5.7389       0.0000       0.0179       0.0476
Sella   5 07:12:49   -18532.256191       5.1804       0.0000       0.0116       0.1062
Sella   6 07:17:10   -18532.451414       4.9429       0.0000       0.0116       0.4462
Sella   7 07:21:31   -18532.639793       4.5602       0.0000       0.0116       0.5575
Sella   8 07:25:50   -18532.819540       4.3825       0.0000       0.0116       0.4379
Sella   9 07:30:10   -18533.023422       3.9206       0.0000       0.0116       0.7092
Sella  10 07:34:28   -18533.195117       3.5603       0.0000       0.0116       0.5145
Sella  11 07:38:50   -18533.338331       3.0999       0.0000       0.0116       0.7142
Sella  12 07:43:09   -18533.479896       2.8079       0.0000       0.0116       0.5771
Sella  13 07:47:36   -18533.611177       2.4901       0.0000       0.0116       0.7396
Sella  14 07:51:58   -18533.716707       2.1620       0.0000       0.0116       0.8813
Sella  15 07:56:21   -18533.782521       1.8682       0.0000       0.0116       0.4922
Sella  16 08:00:47   -18533.841797       1.8907       0.0000       0.0116       0.4900
Sella  17 08:05:13   -18533.898824       1.5449       0.0000       0.0116       0.5222
Sella  18 08:09:38   -18533.939487       1.4951       0.0000       0.0116       0.5793
Sella  19 08:13:59   -18533.983936       1.1379       0.0000       0.0116       0.7320
Sella  20 08:17:47   -18534.013256       0.9525       0.0000       0.0116       0.7385
Sella  21 08:21:31   -18534.028606       1.0940       0.0000       0.0116       0.2039
Sella  22 08:25:19   -18534.043538       0.9289       0.0000       0.0116       0.3560
Sella  23 08:29:09   -18534.066387       0.9249       0.0000       0.0116       0.6482
Sella  24 08:32:59   -18534.085705       0.8694       0.0000       0.0116       0.5851
Sella  25 08:37:21   -18534.095806       0.7483       0.0000       0.0116       0.2269
Sella  26 08:41:43   -18534.103401       0.7405       0.0000       0.0075       0.1953
Sella  27 08:46:01   -18534.121732       0.6632       0.0000       0.0075       0.6108
Sella  28 08:49:47   -18534.134366       0.6175       0.0000       0.0075       0.7061
Sella  29 08:53:34   -18534.144226       0.6488       0.0000       0.0075       0.6472
Sella  30 08:57:24   -18534.153610       0.5588       0.0000       0.0075       0.7923
Sella  31 09:01:10   -18534.163576       0.5402       0.0000       0.0075       0.7497
Sella  32 09:04:57   -18534.171072       0.4729       0.0000       0.0075       0.6634
Sella  33 09:08:47   -18534.179114       0.4649       0.0000       0.0075       0.8109
Sella  34 09:12:36   -18534.185015       0.4811       0.0000       0.0075       0.7043
Sella  35 09:16:28   -18534.189234       0.2942       0.0000       0.0075       0.4235
Sella  36 09:20:17   -18534.193108       0.2871       0.0000       0.0075       0.7507
Sella  37 09:24:02   -18534.194769       0.2889       0.0000       0.0075       0.4401
Sella  38 09:27:49   -18534.196291       0.2577       0.0000       0.0075       0.3809
Sella  39 09:31:34   -18534.197269       0.2387       0.0000       0.0075       0.4272
Sella  40 09:35:26   -18534.197791       0.2443       0.0000       0.0075       0.2455
Sella  41 09:39:13   -18534.197975       0.2761       0.0000       0.0049       0.0751
Sella  42 09:43:01   -18534.199117       0.2438       0.0000       0.0049       0.6311
Sella  43 09:46:17   -18534.199425       0.2154       0.0000       0.0049       0.3094
Sella  44 09:50:04   -18534.200099       0.2193       0.0000       0.0049       0.6597
Sella  45 09:53:55   -18534.200460       0.2266       0.0000       0.0049       0.3974
Sella  46 09:57:12   -18534.201078       0.2116       0.0000       0.0049       0.7974
Sella  47 10:01:01   -18534.201510       0.2429       0.0000       0.0049       0.5978
Sella  48 10:04:16   -18534.202036       0.2568       0.0000       0.0049       0.7755
Sella  49 10:08:04   -18534.202418       0.2820       0.0000       0.0049       0.7559
Sella  50 10:11:54   -18534.202710       0.2552       0.0000       0.0049       0.6147
